Unnamed: 0,City,Country,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,AQI_PM2.5,AQI_PM10,AQI_O3,AQI_CO,AQI_SO2,AQI_NO2,Air_Quality,Air_Quality_Category,Year,Month,Day,Monthly_Avg_Temperature,Monthly_Avg_Wind_Speed
6170,Beijing,China,101.2,18.57,77.38,20.31,4.12,160.74,-0.9,20.06,4.92,174.5964172813488,17.194444444444446,,46.81818181818182,29.014285714285712,75.90478260869565,174.5964172813488,Unhealthy,2023,6,11,11.75,10.26
6171,Istanbul,Turkey,126.77,170.34,84.58,35.88,6.97,118.9,-0.65,59.08,18.16,187.7990516332982,108.59252525252523,,75.69999999999999,,83.57434782608695,187.7990516332982,Unhealthy,2023,6,11,19.22,9.91
6172,Los Angeles,USA,148.69,123.68,66.51,29.6,9.82,45.85,32.69,35.6,3.71,199.11707060063225,84.99313131313131,,106.40689655172416,42.28571428571429,64.3258695652174,199.11707060063225,Unhealthy,2023,7,16,13.6,11.1
6173,Seoul,South Korea,112.44,97.43,48.3,17.28,5.15,193.13,-0.31,81.65,8.98,180.4,72.00070707070708,,57.5,24.685714285714287,45.56603773584906,180.4,Unhealthy,2023,7,20,17.95,10.21
6174,Berlin,Germany,135.57,178.79,9.95,41.7,2.78,178.09,1.06,53.5,13.02,192.3427818756586,112.77484848484848,,31.590909090909086,58.16153846153846,9.386792452830187,192.3427818756586,Unhealthy,2023,2,2,15.8,8.89
6175,Sydney,Australia,118.71,64.86,93.8,2.71,5.7,78.73,11.43,83.46,16.64,183.63740779768176,55.88020202020202,,63.0,3.871428571428571,93.39565217391304,183.63740779768176,Unhealthy,2023,11,10,10.67,10.95
6176,Rio de Janeiro,Brazil,44.72,192.88,39.04,29.66,4.3,81.69,38.92,70.6,10.19,123.70251256281406,119.74868686868686,,48.86363636363636,42.371428571428574,36.83018867924528,123.70251256281406,Poor,2023,12,25,17.02,11.0
6177,Johannesburg,South Africa,111.82,66.07,25.48,44.55,6.71,33.27,28.24,66.21,19.24,180.07987355110643,56.47909090909091,,73.1,61.74230769230769,24.03773584905661,180.07987355110643,Unhealthy,2023,6,26,14.27,10.91
6178,Dubai,UAE,92.46,89.94,76.23,28.58,1.27,110.58,29.17,13.63,18.59,170.0836670179136,68.29353535353536,,14.431818181818182,40.82857142857143,74.67978260869566,170.0836670179136,Unhealthy,2023,1,23,15.22,9.51
6179,Madrid,Spain,97.39,174.93,17.3,28.46,1.57,126.19,-8.87,36.57,2.37,172.62918861959955,110.86434343434344,,17.84090909090909,40.65714285714286,16.32075471698113,172.62918861959955,Unhealthy,2023,12,20,13.2,9.25
6180,Paris,France,88.36,84.03,82.78,10.09,7.61,70.79,0.29,47.01,15.93,167.96670179135933,65.36838383838383,,82.1,14.414285714285716,81.65695652173913,167.96670179135933,Unhealthy,2023,5,15,15.58,10.58
6181,Dubai,UAE,140.43,165.96,42.78,29.71,4.45,174.55,-7.49,20.03,5.73,194.8521601685985,106.42464646464649,,,42.44285714285714,40.35849056603774,194.8521601685985,Unhealthy,2023,8,24,19.57,10.55
6182,Tokyo,Japan,25.98,10.35,44.67,36.43,2.6,21.4,9.72,42.27,4.86,80.18969957081546,9.583333333333334,,29.545454545454547,51.54025641025641,42.14150943396227,80.18969957081546,Moderate,2023,6,8,14.34,9.85
6183,London,UK,15.88,16.19,56.16,15.32,6.54,73.39,37.12,37.22,16.42,58.94935622317597,14.990740740740742,,71.4,21.88571428571429,53.30086956521739,71.4,Moderate,2023,5,24,16.1,10.59
6184,London,UK,26.41,189.41,19.7,4.55,3.09,116.71,33.66,23.11,16.69,81.09399141630902,118.03121212121212,,35.11363636363636,6.5,18.58490566037736,118.03121212121212,Poor,2023,1,12,14.04,10.45
6185,Bangkok,Thailand,66.96,72.08,94.35,14.47,9.39,42.32,22.28,49.15,16.83,156.91717597471023,59.453737373737376,,99.9,20.67142857142857,93.98152173913044,156.91717597471023,Unhealthy,2023,2,19,14.32,11.74
6186,Berlin,Germany,117.45,17.72,32.12,37.63,9.41,190.43,21.97,52.67,12.93,182.9868282402529,16.407407407407405,,,53.04794871794872,30.301886792452827,182.9868282402529,Unhealthy,2023,7,11,17.99,10.02
6187,Mexico City,Mexico,52.63,45.81,62.19,32.68,7.55,89.59,15.75,84.3,7.02,143.17939698492464,42.41666666666667,,81.5,46.68571428571428,59.72413043478261,143.17939698492464,Poor,2023,11,16,14.33,10.06
6188,Berlin,Germany,80.68,105.13,10.02,12.98,0.58,39.72,5.69,59.67,6.75,164.00126448893573,75.81181818181818,,6.59090909090909,18.542857142857144,9.452830188679243,164.00126448893573,Unhealthy,2023,7,5,17.99,10.02
6189,Rio de Janeiro,Brazil,27.02,156.14,12.28,33.94,9.35,28.2,30.45,36.79,6.3,82.37682403433476,101.56424242424242,,99.5,48.48571428571428,11.584905660377355,101.56424242424242,Poor,2023,10,15,19.62,9.68
6190,Rio de Janeiro,Brazil,34.6,96.43,50.54,11.29,9.74,156.38,-2.68,82.38,13.7,98.3175965665236,71.50575757575758,,105.0551724137931,16.128571428571426,47.67924528301887,105.0551724137931,Poor,2023,3,23,18.14,12.15
6191,Johannesburg,South Africa,124.49,184.5,72.08,44.32,9.06,196.98,5.24,84.16,12.63,186.6218124341412,115.6010101010101,,96.6,61.45333333333333,70.2591304347826,186.6218124341412,Unhealthy,2023,8,25,14.39,10.06
6192,Dubai,UAE,41.64,25.72,71.95,5.63,5.03,63.72,-5.7,70.1,14.37,116.11859296482412,23.814814814814813,,56.3,8.042857142857143,70.12065217391304,116.11859296482412,Poor,2023,4,7,13.2,11.62
6193,Toronto,Canada,94.11,62.83,26.15,1.42,6.4,165.83,36.31,65.6,11.88,170.93561643835616,54.87545454545455,,70.0,2.0285714285714285,24.669811320754715,170.93561643835616,Unhealthy,2023,11,21,11.82,9.76
6194,Los Angeles,USA,41.79,139.45,93.43,2.51,0.87,127.56,-2.25,22.42,2.79,116.48793969849244,92.79848484848485,,9.886363636363637,3.5857142857142854,93.00152173913044,116.48793969849244,Poor,2023,11,8,14.93,9.6
6195,Rio de Janeiro,Brazil,51.17,72.25,32.68,22.58,5.73,192.77,23.39,12.8,17.44,139.58442211055277,59.53787878787879,,63.3,32.25714285714285,30.83018867924528,139.58442211055277,Poor,2023,3,19,18.14,12.15
6196,Tokyo,Japan,91.34,10.44,79.85,39.22,8.3,40.9,13.48,79.78,7.42,169.50537407797682,9.666666666666666,,89.0,55.04564102564103,78.53586956521738,169.50537407797682,Unhealthy,2023,2,12,17.43,11.11
6197,Johannesburg,South Africa,54.66,23.73,78.39,45.49,8.74,51.25,35.63,56.93,20.0,148.17788944723617,21.97222222222222,,93.4,62.92333333333333,76.98065217391304,148.17788944723617,Poor,2023,11,11,16.9,11.25
6198,Cairo,Egypt,7.22,82.7,62.43,11.33,6.79,188.84,1.89,53.85,4.87,30.083333333333336,64.71010101010101,,73.9,16.185714285714287,59.97978260869565,73.9,Moderate,2023,9,28,12.59,9.66
6199,Madrid,Spain,118.06,54.84,48.44,29.44,0.59,89.93,18.19,47.45,8.62,183.3017913593256,,,6.704545454545454,42.05714285714286,45.698113207547166,183.3017913593256,Unhealthy,2023,5,5,11.02,9.85
6200,Cairo,Egypt,35.17,170.45,35.85,18.87,2.2,143.24,20.12,10.65,5.36,99.51630901287557,108.64696969696968,,25.0,26.95714285714286,33.820754716981135,108.64696969696968,Poor,2023,6,26,14.84,9.89
6201,Johannesburg,South Africa,68.81,194.5,56.74,28.54,9.18,43.57,13.44,27.57,19.9,157.87239199157008,120.55050505050504,,97.8,40.77142857142857,53.91869565217392,157.87239199157008,Unhealthy,2023,3,3,15.03,8.44
6202,Madrid,Spain,90.52,45.77,64.93,2.21,6.18,39.86,2.17,89.26,16.49,169.08198103266596,42.37962962962963,,67.8,3.157142857142857,62.64282608695653,169.08198103266596,Unhealthy,2023,8,2,13.65,10.28
6203,Beijing,China,136.53,165.29,95.6,7.14,1.44,84.3,5.45,22.29,16.23,192.8384615384616,106.0930303030303,,16.363636363636363,10.2,95.31304347826088,192.8384615384616,Unhealthy,2023,1,10,15.22,10.6
6204,Mumbai,India,82.28,98.04,79.45,5.66,5.81,177.26,-0.45,34.29,18.9,164.82739726027398,72.30262626262626,,64.1,8.085714285714285,78.10978260869565,164.82739726027398,Unhealthy,2023,1,6,14.78,10.02
6205,Bangkok,Thailand,77.91,96.6,73.2,16.86,6.33,197.04,18.93,59.34,17.62,162.57102212855636,71.58989898989898,,69.3,24.085714285714285,71.45217391304348,162.57102212855636,Unhealthy,2023,1,27,15.08,10.9
6206,Mumbai,India,103.07,56.81,63.34,27.0,1.68,190.62,17.18,22.92,3.17,175.56195995785038,51.89585858585859,,19.09090909090909,38.57142857142857,60.94913043478262,175.56195995785038,Unhealthy,2023,10,5,13.68,10.97
6207,Mexico City,Mexico,125.81,102.58,28.63,15.51,5.87,121.54,11.39,86.67,18.58,187.30337197049528,74.54969696969697,,64.7,22.15714285714286,27.00943396226415,187.30337197049528,Unhealthy,2023,2,27,17.56,9.83
6208,Mumbai,India,125.78,77.08,46.06,11.7,1.05,189.29,19.34,67.02,13.92,187.28788198103268,61.92848484848485,,11.931818181818182,16.714285714285715,43.45283018867925,187.28788198103268,Unhealthy,2023,12,28,13.09,12.18
6209,Sydney,Australia,7.36,114.22,15.69,37.15,4.06,33.06,-8.08,90.13,5.79,30.66666666666667,80.31090909090909,,46.13636363636363,52.444871794871794,14.80188679245283,80.31090909090909,Moderate,2023,7,7,14.3,9.01
6210,Istanbul,Turkey,69.34,189.09,92.59,36.05,8.13,166.76,38.7,72.87,19.77,158.14604847207588,117.87282828282828,,87.30000000000001,51.06282051282051,92.1067391304348,158.14604847207588,Unhealthy,2023,8,22,15.01,8.76
6211,Bangkok,Thailand,123.87,148.07,29.7,25.23,2.77,49.81,34.41,38.87,12.23,186.3016859852476,97.0649494949495,,31.477272727272727,36.04285714285714,28.0188679245283,186.3016859852476,Unhealthy,2023,9,6,12.83,10.64
6212,Sydney,Australia,30.81,18.83,42.85,7.95,7.84,70.69,21.31,56.29,14.36,90.3472103004292,17.435185185185183,,84.4,11.357142857142858,40.4245283018868,90.3472103004292,Moderate,2023,4,15,17.07,9.6
6213,Beijing,China,69.68,78.68,44.83,16.31,0.55,177.91,27.31,50.14,5.49,158.32160168598526,62.72040404040405,,6.25,23.3,42.29245283018868,158.32160168598526,Unhealthy,2023,7,18,13.81,10.01
6214,Beijing,China,64.58,185.77,33.02,14.06,8.38,164.27,-9.66,78.67,14.38,155.68830347734456,116.22959595959595,,89.80000000000001,20.085714285714285,31.150943396226417,155.68830347734456,Unhealthy,2023,5,25,14.45,9.64
6215,Paris,France,70.77,163.28,39.92,46.1,9.6,129.62,6.74,12.28,0.52,158.88440463645944,105.0981818181818,,102.6896551724138,63.68974358974359,37.66037735849057,158.88440463645944,Unhealthy,2023,8,4,15.19,8.73
6216,Mumbai,India,44.7,11.61,74.55,10.67,7.69,186.27,26.73,10.16,3.88,123.6532663316583,10.75,,82.9,15.242857142857144,72.89021739130435,123.6532663316583,Poor,2023,9,15,12.59,9.41
6217,Mumbai,India,73.21,125.4,85.32,49.98,6.04,139.64,39.1,70.29,18.06,160.14425711275027,85.84444444444445,,66.4,68.56461538461538,84.36260869565217,160.14425711275027,Unhealthy,2023,5,23,17.26,9.48
6218,Mumbai,India,85.62,35.5,79.66,22.44,4.56,115.13,28.99,69.44,10.32,166.55194942044258,32.870370370370374,,51.6,32.05714285714286,78.33347826086955,166.55194942044258,Unhealthy,2023,8,16,14.73,9.18
6219,Johannesburg,South Africa,104.97,26.87,94.76,27.22,9.42,47.66,19.69,55.02,18.11,176.54299262381454,24.87962962962963,,,38.885714285714286,94.41826086956522,176.54299262381454,Unhealthy,2023,9,3,16.13,10.02
6220,Rio de Janeiro,Brazil,88.99,93.67,27.81,29.84,8.58,62.23,-7.9,88.94,13.51,168.29199157007375,70.13969696969697,,91.8,42.62857142857143,26.23584905660377,168.29199157007375,Unhealthy,2023,5,12,16.47,8.77
6221,Toronto,Canada,22.33,14.74,12.59,7.26,7.31,191.93,26.79,91.91,0.87,72.5137339055794,13.648148148148149,,79.1,10.371428571428572,11.87735849056604,79.1,Moderate,2023,10,28,14.88,11.68
6222,Seoul,South Korea,145.24,14.64,79.21,36.26,0.66,159.27,7.99,79.25,8.55,197.33572181243412,13.555555555555555,,7.5,51.32666666666666,77.8541304347826,197.33572181243412,Unhealthy,2023,2,10,14.47,10.28
6223,Johannesburg,South Africa,62.1,99.63,77.42,46.36,5.07,68.47,10.75,55.42,16.44,154.4077976817703,73.08959595959595,,56.7,64.01641025641025,75.94739130434783,154.4077976817703,Unhealthy,2023,5,6,15.9,10.71
6224,Tokyo,Japan,128.72,162.03,92.79,36.83,8.23,165.2,13.55,94.44,14.78,188.8059009483667,104.47949494949496,,88.30000000000001,52.04282051282051,92.31978260869566,188.8059009483667,Unhealthy,2023,2,13,17.43,11.11
6225,Cairo,Egypt,85.39,58.29,84.15,44.49,7.08,145.93,10.54,49.5,9.13,166.4331928345627,52.62838383838384,,76.8,61.66692307692309,83.11630434782609,166.4331928345627,Unhealthy,2023,10,8,15.61,9.87
6226,Madrid,Spain,98.87,136.48,54.72,21.89,8.77,43.46,-8.32,49.66,4.21,173.39336143308748,91.32848484848483,,93.7,31.27142857142857,51.76695652173913,173.39336143308748,Unhealthy,2023,12,4,13.2,9.25
6227,Cairo,Egypt,112.24,11.02,66.72,1.72,3.64,61.96,31.01,82.93,17.09,180.29673340358272,10.203703703703704,,41.36363636363637,2.4571428571428573,64.5495652173913,180.29673340358272,Unhealthy,2023,9,11,12.59,9.66
6228,Toronto,Canada,73.69,55.82,39.67,27.09,3.5,49.25,11.67,21.92,10.65,160.39209694415177,51.40585858585859,,39.77272727272727,38.7,37.4245283018868,160.39209694415177,Unhealthy,2023,5,7,15.6,10.43
6229,Toronto,Canada,101.31,159.08,97.94,30.47,2.62,33.36,27.56,15.38,16.91,174.65321390937828,103.01939393939396,,29.772727272727277,43.52857142857143,97.80565217391305,174.65321390937828,Unhealthy,2023,1,24,13.87,11.98
6230,Johannesburg,South Africa,55.62,57.66,75.67,37.61,2.58,167.19,25.81,68.59,12.65,151.06195995785038,52.31656565656566,,29.318181818181817,53.02282051282051,74.08326086956522,151.06195995785038,Unhealthy,2023,7,1,9.29,9.78
6231,Rio de Janeiro,Brazil,146.36,115.31,93.66,29.62,9.84,166.94,22.76,52.78,16.92,197.9140147523709,80.85040404040404,,106.7448275862069,42.31428571428572,93.24652173913044,197.9140147523709,Unhealthy,2023,6,10,13.43,11.22
6232,Tokyo,Japan,96.06,58.69,23.73,20.43,5.37,188.59,24.76,57.08,9.65,171.94246575342467,52.82636363636364,,59.7,29.185714285714287,22.38679245283019,171.94246575342467,Unhealthy,2023,1,25,13.34,10.8
6233,Istanbul,Turkey,76.0,72.11,60.87,9.63,4.06,182.52,-7.84,37.27,17.05,161.58482613277133,59.46858585858586,,46.13636363636363,13.757142857142858,58.31804347826087,161.58482613277133,Unhealthy,2023,12,3,14.02,9.91
6234,Cairo,Egypt,142.92,24.7,47.06,8.49,8.0,198.28,-4.59,24.25,16.6,196.1378292939937,22.87037037037037,,86.0,12.12857142857143,44.39622641509434,196.1378292939937,Unhealthy,2023,2,25,9.78,10.02
6235,Rio de Janeiro,Brazil,39.28,75.88,50.8,19.75,4.53,164.26,38.27,96.63,17.39,110.3075376884422,61.33454545454545,,51.3,28.214285714285715,47.92452830188679,110.3075376884422,Poor,2023,3,17,18.14,12.15
6236,Berlin,Germany,54.24,19.98,28.37,43.31,2.87,81.42,7.18,18.29,17.82,147.14371859296483,18.5,,32.61363636363637,60.18435897435898,26.764150943396228,147.14371859296483,Poor,2023,3,28,16.89,10.88
6237,Johannesburg,South Africa,81.82,52.87,60.87,35.69,5.03,102.16,26.11,96.48,4.78,164.58988408851422,48.9537037037037,,56.3,,58.31804347826087,164.58988408851422,Unhealthy,2023,7,15,9.29,9.78
6238,Tokyo,Japan,59.46,171.85,56.5,5.61,6.49,114.47,8.37,72.63,6.81,153.04467860906215,109.33989898989898,,70.9,8.014285714285714,53.66304347826087,153.04467860906215,Unhealthy,2023,8,25,13.24,9.37
6239,Los Angeles,USA,86.91,67.74,70.55,48.64,7.0,84.62,21.28,55.39,2.02,167.21801896733405,57.30565656565656,,76.0,66.88102564102564,68.62934782608696,167.21801896733405,Unhealthy,2023,6,13,17.79,9.92
6240,Seoul,South Korea,6.88,14.93,77.45,34.28,4.17,164.56,5.68,36.7,16.35,28.666666666666668,13.824074074074074,,47.38636363636363,48.971428571428575,75.97934782608696,75.97934782608696,Moderate,2023,3,5,17.51,11.79
6241,Johannesburg,South Africa,32.12,101.82,68.08,8.63,5.78,152.54,0.56,47.17,14.53,93.1021459227468,74.17353535353536,,63.8,12.32857142857143,65.99826086956521,93.1021459227468,Moderate,2023,5,21,15.9,10.71
6242,Berlin,Germany,33.86,138.02,88.98,32.27,0.12,12.55,16.69,36.22,8.12,96.76137339055794,92.09070707070708,,1.3636363636363635,46.10000000000001,88.2613043478261,96.76137339055794,Moderate,2023,12,28,15.49,10.71
6243,Dubai,UAE,55.24,199.33,70.66,42.41,8.39,147.31,15.16,50.76,6.05,149.60603015075378,122.94111111111113,,89.9,59.05358974358974,68.74652173913043,149.60603015075378,Poor,2023,4,11,13.2,11.62
6244,Madrid,Spain,97.35,103.58,62.91,41.62,3.94,53.49,21.03,80.28,3.99,172.6085353003161,75.04464646464646,,44.77272727272727,58.06102564102564,60.49108695652173,172.6085353003161,Unhealthy,2023,7,9,13.26,10.9
6245,Rio de Janeiro,Brazil,72.59,106.79,15.19,20.55,9.76,175.57,6.27,51.64,17.89,159.8241306638567,76.63343434343435,,105.39310344827584,29.357142857142858,14.330188679245282,159.8241306638567,Unhealthy,2023,12,19,17.02,11.0
6246,Rio de Janeiro,Brazil,94.89,182.4,75.05,27.99,6.62,159.47,13.51,83.34,2.03,171.33835616438355,114.56161616161616,,72.2,39.98571428571429,73.42282608695652,171.33835616438355,Unhealthy,2023,9,16,18.36,10.61
6247,Beijing,China,73.19,176.01,16.88,27.45,8.86,198.6,-9.34,15.85,18.36,160.13393045310855,111.39888888888888,,94.6,39.21428571428572,15.924528301886792,160.13393045310855,Unhealthy,2023,12,15,13.4,11.58
6248,Johannesburg,South Africa,74.46,186.34,6.39,11.82,2.13,147.04,25.9,99.42,19.18,160.78967334035826,116.51171717171718,,24.204545454545453,16.885714285714286,6.028301886792453,160.78967334035826,Unhealthy,2023,4,28,14.13,10.18
6249,Seoul,South Korea,27.94,40.18,5.12,30.65,1.1,99.9,29.98,66.41,0.73,84.31158798283263,37.2037037037037,,12.5,43.785714285714285,4.830188679245283,84.31158798283263,Moderate,2023,5,5,14.06,8.93
6250,Berlin,Germany,133.63,126.27,93.01,40.67,5.5,127.8,13.83,52.1,9.74,191.3410958904109,86.2750505050505,,61.0,56.8674358974359,92.55413043478262,191.3410958904109,Unhealthy,2023,6,23,15.69,9.7
6251,Bangkok,Thailand,8.06,96.81,20.74,29.79,2.93,130.55,21.22,68.43,12.3,33.583333333333336,71.69383838383838,,33.29545454545455,42.55714285714286,19.56603773584905,71.69383838383838,Moderate,2023,9,26,12.83,10.64
6252,Beijing,China,111.92,32.08,7.95,37.45,9.43,45.77,23.68,30.31,5.91,180.13150684931506,29.703703703703702,,,52.82179487179488,7.5,180.13150684931506,Unhealthy,2023,8,12,12.37,11.4
6253,Tokyo,Japan,46.46,95.54,5.62,35.12,1.63,155.82,32.72,42.51,12.46,127.98693467336685,71.06525252525253,,18.52272727272727,,5.30188679245283,127.98693467336685,Poor,2023,2,4,17.43,11.11
6254,Bangkok,Thailand,115.46,129.83,11.33,3.99,9.37,43.53,-9.34,80.32,3.18,181.95932560590091,88.03707070707071,,99.7,5.7,10.68867924528302,181.95932560590091,Unhealthy,2023,12,12,14.64,11.4
6255,Mexico City,Mexico,93.84,68.02,41.17,18.28,7.87,193.53,5.85,71.99,5.37,170.79620653319284,57.444242424242425,,84.7,26.11428571428572,38.83962264150944,170.79620653319284,Unhealthy,2023,8,14,11.58,10.47
6256,New York,USA,18.4,57.45,99.81,7.23,1.32,65.78,27.71,47.14,16.01,64.2489270386266,52.212626262626266,,15.0,10.32857142857143,99.79760869565216,99.79760869565216,Moderate,2023,2,27,14.62,9.54
6257,Moscow,Russia,58.95,19.45,16.19,16.57,0.73,137.82,-4.04,44.58,10.46,152.7813487881981,18.00925925925926,,8.295454545454545,23.67142857142857,15.273584905660378,152.7813487881981,Unhealthy,2023,7,13,17.72,10.1
6258,Johannesburg,South Africa,97.14,191.9,90.91,29.7,7.89,187.01,24.29,67.79,7.05,172.50010537407798,119.26363636363637,,84.9,42.42857142857143,90.31717391304348,172.50010537407798,Unhealthy,2023,4,19,14.13,10.18
6259,Istanbul,Turkey,51.95,26.18,12.5,47.27,7.88,157.48,14.08,15.12,9.01,141.50502512562815,24.24074074074074,,84.8,65.1597435897436,11.79245283018868,141.50502512562815,Poor,2023,8,3,15.01,8.76
6260,Madrid,Spain,17.26,177.47,50.6,44.75,0.7,193.28,0.61,44.53,7.22,61.85150214592275,112.12151515151515,,7.954545454545454,61.99358974358975,47.735849056603776,112.12151515151515,Poor,2023,1,12,13.09,8.96
6261,Paris,France,91.52,101.07,95.02,22.77,7.72,54.28,2.56,40.22,18.69,169.59831401475236,73.80232323232323,,83.19999999999999,32.52857142857143,94.69521739130434,169.59831401475236,Unhealthy,2023,6,12,13.47,9.37
6262,Mumbai,India,11.16,156.69,67.88,43.61,4.43,55.98,0.55,84.57,11.62,46.50000000000001,101.83646464646463,,,60.56128205128205,65.78521739130434,101.83646464646463,Poor,2023,12,23,13.09,12.18
6263,Istanbul,Turkey,16.1,165.81,34.28,46.59,1.37,149.48,3.48,63.49,15.59,59.412017167381975,106.35040404040404,,15.568181818181818,64.30538461538463,32.33962264150944,106.35040404040404,Poor,2023,7,8,17.52,10.12
6264,Dubai,UAE,91.01,134.79,96.97,27.53,5.14,114.36,-4.61,56.87,8.71,169.33498419388832,90.4920202020202,,57.4,39.32857142857143,96.77239130434782,169.33498419388832,Unhealthy,2023,1,10,15.22,9.51
6265,Dubai,UAE,126.0,23.14,58.41,37.3,7.4,20.25,27.07,22.28,5.1,187.4014752370917,21.425925925925927,,80.0,52.63333333333333,55.69760869565217,187.4014752370917,Unhealthy,2023,1,10,15.22,9.51
6266,London,UK,94.59,168.43,70.54,17.53,1.28,192.7,-1.4,19.26,19.83,171.18345626975764,107.64717171717172,,14.545454545454543,25.042857142857144,68.61869565217393,171.18345626975764,Unhealthy,2023,10,4,12.18,9.62
6267,Istanbul,Turkey,79.81,133.19,84.54,20.38,4.88,73.2,36.7,20.14,9.43,163.55205479452056,89.70010101010101,,54.8,29.114285714285717,83.5317391304348,163.55205479452056,Unhealthy,2023,6,5,19.22,9.91
6268,Berlin,Germany,96.68,191.5,15.82,16.29,3.07,112.2,14.06,84.58,17.29,172.26259220231825,119.06565656565655,,34.88636363636363,23.27142857142857,14.924528301886792,172.26259220231825,Unhealthy,2023,12,22,15.49,10.71
6269,Johannesburg,South Africa,96.46,10.56,61.61,49.88,2.86,89.25,20.95,16.68,5.29,172.1489989462592,9.77777777777778,,32.5,68.43897435897436,59.10630434782609,172.1489989462592,Unhealthy,2023,8,28,14.39,10.06
6270,Seoul,South Korea,57.94,15.57,42.42,7.46,9.95,192.11,31.99,51.15,16.8,152.25985247629083,14.416666666666668,,108.60344827586204,10.657142857142857,40.0188679245283,152.25985247629083,Unhealthy,2023,6,1,18.07,9.89
6271,Los Angeles,USA,31.76,101.43,59.46,12.72,9.49,44.32,3.37,21.96,1.32,92.34506437768242,73.98050505050506,,,18.17142857142857,56.816086956521744,92.34506437768242,Moderate,2023,4,5,14.11,9.77
6272,Mexico City,Mexico,53.4,94.0,18.96,5.37,1.12,49.28,31.09,67.18,6.96,145.0753768844221,70.30303030303031,,12.727272727272728,7.671428571428572,17.88679245283019,145.0753768844221,Poor,2023,1,14,14.83,10.6
6273,Los Angeles,USA,86.89,133.24,67.66,12.67,2.98,53.93,5.06,32.03,11.31,167.2076923076923,89.7248484848485,,33.86363636363636,18.1,65.55086956521738,167.2076923076923,Unhealthy,2023,12,19,17.73,9.8
6274,Seoul,South Korea,26.77,52.08,48.29,13.14,7.67,94.26,28.4,26.5,1.99,81.85107296137339,48.22222222222222,,82.7,18.77142857142857,45.5566037735849,82.7,Moderate,2023,12,28,15.45,10.79
6275,Tokyo,Japan,36.27,19.46,37.29,36.38,0.23,128.93,12.08,86.63,1.38,102.89597989949748,18.01851851851852,,2.613636363636364,51.4774358974359,35.179245283018865,102.89597989949748,Poor,2023,8,26,13.24,9.37
6276,Mexico City,Mexico,77.67,32.23,37.16,29.39,2.96,50.11,-8.07,96.49,13.89,162.44710221285564,29.842592592592588,,33.63636363636363,41.98571428571429,35.056603773584904,162.44710221285564,Unhealthy,2023,2,21,17.56,9.83
6277,Toronto,Canada,61.0,139.24,29.8,10.23,7.41,10.16,25.12,37.52,15.37,153.83983140147524,92.69454545454546,,80.1,14.614285714285716,28.11320754716981,153.83983140147524,Unhealthy,2023,1,22,13.87,11.98
6278,Los Angeles,USA,13.03,31.69,68.15,47.1,2.97,94.61,22.16,71.41,18.22,52.95579399141631,29.342592592592595,,33.75,64.94615384615385,66.07282608695652,66.07282608695652,Moderate,2023,7,17,13.6,11.1
6279,Istanbul,Turkey,138.65,119.72,33.23,27.7,0.93,13.96,38.57,18.13,18.26,193.93308746048476,83.03313131313132,,10.568181818181818,39.57142857142857,31.349056603773583,193.93308746048476,Unhealthy,2023,4,19,16.71,10.93
6280,Dubai,UAE,59.4,115.34,74.02,24.11,8.88,157.2,35.24,91.65,19.65,153.013698630137,80.86525252525253,,94.8,34.44285714285714,72.32565217391304,153.013698630137,Unhealthy,2023,10,9,12.55,9.61
6281,Madrid,Spain,81.16,198.42,10.11,25.04,2.99,42.46,-5.58,47.83,2.73,164.2491043203372,122.49070707070706,,33.97727272727273,35.77142857142857,9.537735849056604,164.2491043203372,Unhealthy,2023,11,13,14.17,10.45
6282,Mumbai,India,63.37,119.53,65.31,25.23,2.83,154.74,-4.44,89.96,13.27,155.06354056902,82.93909090909091,,32.15909090909091,36.04285714285714,63.04760869565218,155.06354056902,Unhealthy,2023,12,18,13.09,12.18
6283,Toronto,Canada,144.84,23.41,92.76,4.75,2.05,100.89,30.96,98.62,13.72,197.1291886195996,21.675925925925927,,23.295454545454543,6.785714285714286,92.28782608695651,197.1291886195996,Unhealthy,2023,2,6,16.03,10.92
6284,Istanbul,Turkey,122.77,62.94,17.61,42.36,3.52,10.41,-1.57,42.0,14.49,185.7337197049526,54.92989898989899,,40.0,58.99076923076923,16.61320754716981,185.7337197049526,Unhealthy,2023,3,4,14.84,10.52
6285,Tokyo,Japan,144.7,108.25,22.91,24.48,7.57,182.39,7.48,96.95,1.61,197.05690200210748,77.35606060606061,,81.7,34.971428571428575,21.61320754716981,197.05690200210748,Unhealthy,2023,11,28,11.47,10.76
6286,Mumbai,India,148.91,139.52,68.09,45.98,9.86,198.68,6.92,14.56,13.11,199.23066385669125,92.83313131313132,,107.08275862068965,63.53897435897436,66.00891304347826,199.23066385669125,Unhealthy,2023,5,22,17.26,9.48
6287,Rio de Janeiro,Brazil,144.46,183.46,17.43,9.26,5.84,170.24,9.56,50.43,17.07,196.93298208640675,115.08626262626262,,64.4,13.228571428571428,16.443396226415093,196.93298208640675,Unhealthy,2023,1,27,15.78,10.56
6288,Dubai,UAE,26.8,77.68,8.03,16.5,1.99,49.19,36.4,91.62,15.17,81.91416309012877,62.22545454545456,,22.613636363636363,23.571428571428573,7.575471698113207,81.91416309012877,Moderate,2023,6,22,13.71,11.52
