City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,Air_Quality,Air_Quality_Category
New York,USA,2023-03-13,141.54,157.45,34.96,14.44,3.22,101.36,35.94,36.16,9.25,566,Dangerous
New York,USA,2023-06-07,37.43,153.41,43.84,19.17,3.09,56.17,33.87,99.25,4.28,307,Dangerous
Los Angeles,USA,2023-05-14,75.45,84.02,26.9,31.58,2.39,24.38,35.39,71.03,6.67,302,Dangerous
New York,USA,2023-10-10,146.92,46.31,10.03,46.14,5.38,192.12,24.49,38.21,18.33,588,Dangerous
Berlin,Germany,2023-10-07,135.86,33.88,37.97,34.76,1.52,176.17,29.41,79.5,9.04,543,Dangerous
Paris,France,2023-09-11,48.98,179.6,10.79,10.4,7.37,197.31,-8.59,21.7,1.63,359,Dangerous
Berlin,Germany,2023-05-02,24.96,87.46,5.22,40.19,2.48,119.61,-2.21,94.94,17.24,175,Dangerous
Cairo,Egypt,2023-07-27,101.21,65.73,92.12,28.23,0.87,192.18,19.15,75.78,6.68,405,Dangerous
Beijing,China,2023-09-24,100.11,96.99,74.25,3.54,1.8,11.99,-3.72,94.41,14.59,400,Dangerous
London,UK,2023-12-13,15.84,176.92,85.92,25.47,6.01,31.03,4.46,76.1,17.25,354,Dangerous
Mexico City,Mexico,2023-01-21,127.51,76.06,44.29,46.23,0.51,84.51,35.34,69.04,15.66,510,Dangerous
Tokyo,Japan,2023-03-03,106.71,38.35,57.66,36.01,6.95,118.44,11.41,18.82,13.66,427,Dangerous
Bangkok,Thailand,2023-03-05,97.64,193.29,18.69,35.06,9.8,19.81,-1.6,90.02,15.22,391,Dangerous
Toronto,Canada,2023-05-23,132.24,33.36,31.82,36.37,8.96,115.71,37.52,25.43,18.78,529,Dangerous
New York,USA,2023-06-02,49.3,163.75,49.42,19.18,9.62,168.73,25.53,29.66,13.8,328,Dangerous
Moscow,Russia,2023-01-17,141.38,28.16,15.04,41.24,3.61,115.11,-7.89,70.04,10.84,566,Dangerous
Johannesburg,South Africa,2023-10-12,16.23,128.02,93.3,8.25,2.82,112.01,15.72,40.41,11.18,256,Dangerous
Mexico City,Mexico,2023-05-20,41.59,21.24,91.08,4.7,9.58,94.29,39.4,31.7,17.47,166,Dangerous
London,UK,2023-07-01,32.91,29.58,43.99,35.1,1.73,191.28,34.57,65.16,10.39,132,Unhealthy
Rio de Janeiro,Brazil,2023-09-10,105.49,66.05,54.84,8.98,2.41,135.69,18.52,90.4,0.53,422,Dangerous
New York,USA,2023-12-25,57.82,61.53,37.49,29.49,5.3,79.05,39.26,23.27,5.49,231,Dangerous
Toronto,Canada,2023-10-13,127.31,138.25,83.32,17.6,6.29,122.68,12.65,14.01,13.88,509,Dangerous
Toronto,Canada,2023-12-11,147.21,134.29,91.35,14.84,3.07,120.41,18.82,29.22,5.21,589,Dangerous
Moscow,Russia,2023-09-02,73.14,172.75,61.8,17.91,8.12,143.55,7.48,15.15,12.04,346,Dangerous
London,UK,2023-02-10,92.06,196.5,38.67,13.06,0.8,101.16,24.51,47.77,18.99,393,Dangerous
New York,USA,2023-08-01,52.44,66.95,18.11,21.72,7.42,117.78,36.58,89.59,6.54,210,Dangerous
Los Angeles,USA,2023-06-22,91.68,168.66,14.74,23.09,3.56,61.72,-9.31,55.26,9.87,367,Dangerous
Sydney,Australia,2023-12-26,96.28,166.55,10.99,2.33,6.27,57.68,14.64,86.27,13.49,385,Dangerous
Berlin,Germany,2023-11-11,27.33,65.41,58.37,21.45,1.51,179.34,25.23,90.47,0.68,131,Unhealthy
Rio de Janeiro,Brazil,2023-11-10,15.04,192.81,63.6,3.63,0.52,187.92,-6.9,97.2,6.07,386,Dangerous
Istanbul,Turkey,2023-07-05,65.59,120.64,74.25,29.48,1.24,107.7,21.45,37.9,2.13,262,Dangerous
Mumbai,India,2023-03-03,53.55,36.71,46.59,25.03,4.58,158.25,13.15,19.17,5.87,214,Dangerous
Sydney,Australia,2023-04-17,93.05,65.36,50.78,14.99,5.29,140.11,2.66,69.46,16.52,372,Dangerous
Seoul,South Korea,2023-04-23,63.74,123.41,56.97,49.39,4.61,169.99,36.85,39.71,19.72,255,Dangerous
Cairo,Egypt,2023-05-05,5.97,64.29,18.64,16.57,4.91,27.23,23.05,35.92,14.69,129,Unhealthy
Johannesburg,South Africa,2023-07-21,91.45,19.37,54.99,44.19,4.42,88.69,-6.23,84.78,18.11,366,Dangerous
New York,USA,2023-04-17,41.92,144.71,76.74,11.51,3.93,11.46,26.52,58.43,2.25,289,Dangerous
Rio de Janeiro,Brazil,2023-09-03,9.73,93.74,52.52,1.15,0.48,54.43,21.11,90.7,10.75,187,Dangerous
Mumbai,India,2023-11-16,74.55,77.34,5.7,2.3,1.22,44.51,6.46,55.34,1.89,298,Dangerous
Dubai,UAE,2023-12-28,31.33,125.65,67.39,16.33,5.41,166.91,10.01,77.28,3.16,251,Dangerous
Berlin,Germany,2023-01-23,15.39,57.06,39.39,6.72,2.56,187.58,4.49,89.69,13.18,114,Unhealthy
Tokyo,Japan,2023-01-07,86.2,121.53,96.66,31.41,4.44,175.15,6.89,35.07,18.0,345,Dangerous
Madrid,Spain,2023-01-02,70.97,124.75,12.55,12.14,3.42,37.96,-7.36,78.99,17.31,284,Dangerous
Istanbul,Turkey,2023-04-26,113.11,107.76,89.44,33.49,4.32,70.92,-6.81,15.51,11.57,452,Dangerous
Cairo,Egypt,2023-05-12,44.78,156.19,41.78,17.04,7.75,162.04,13.92,56.35,16.78,312,Dangerous
Moscow,Russia,2023-05-04,16.44,31.55,50.95,12.58,6.68,23.27,0.28,60.78,8.76,66,Moderate
Sydney,Australia,2023-06-05,24.04,81.81,50.13,10.01,8.47,145.1,37.41,33.89,17.26,164,Dangerous
Rio de Janeiro,Brazil,2023-11-27,133.61,118.02,56.96,5.77,3.33,23.82,37.02,68.78,2.24,534,Dangerous
Los Angeles,USA,2023-01-17,40.6,21.18,72.69,41.58,1.27,180.8,26.72,65.0,14.49,162,Dangerous
London,UK,2023-12-01,25.36,156.48,20.26,15.86,4.23,110.12,19.71,90.07,5.08,313,Dangerous
Dubai,UAE,2023-06-10,149.17,95.98,66.09,17.84,5.88,181.99,36.25,96.86,4.48,597,Dangerous
London,UK,2023-11-03,43.17,78.1,85.33,42.2,1.07,119.26,16.31,33.83,7.17,173,Dangerous
Istanbul,Turkey,2023-12-14,106.41,187.66,57.12,16.53,5.45,143.47,-7.81,25.34,0.55,426,Dangerous
Bangkok,Thailand,2023-02-03,72.04,123.08,71.87,30.93,8.18,96.14,10.23,34.85,5.81,288,Dangerous
Mumbai,India,2023-03-05,53.99,46.15,48.62,12.81,1.6,100.94,28.72,94.89,11.21,216,Dangerous
New York,USA,2023-09-02,42.69,67.81,72.62,28.31,4.16,136.21,1.09,68.06,13.17,171,Dangerous
Mexico City,Mexico,2023-05-02,75.45,75.25,9.45,5.87,0.31,80.25,9.06,83.66,15.17,302,Dangerous
Moscow,Russia,2023-07-03,146.02,15.77,51.84,1.42,2.73,155.14,29.08,32.63,13.61,584,Dangerous
Moscow,Russia,2023-11-05,100.93,73.63,83.38,31.35,6.28,93.58,38.8,83.51,2.15,404,Dangerous
Dubai,UAE,2023-07-04,121.74,126.9,20.92,26.23,1.31,110.53,29.0,82.46,3.41,487,Dangerous
Moscow,Russia,2023-01-25,43.65,14.97,10.69,37.76,9.85,62.92,37.17,60.02,10.04,175,Dangerous
Seoul,South Korea,2023-01-12,121.74,152.68,22.89,11.06,8.75,70.58,0.61,79.58,13.55,487,Dangerous
Madrid,Spain,2023-07-13,116.12,189.07,87.13,10.41,4.9,170.11,9.51,66.42,10.06,464,Dangerous
Istanbul,Turkey,2023-09-10,58.07,101.26,84.95,41.16,4.71,195.22,16.08,86.16,16.8,232,Dangerous
Seoul,South Korea,2023-08-13,110.65,21.64,80.78,26.49,8.12,192.25,21.67,67.25,14.05,443,Dangerous
Berlin,Germany,2023-07-28,129.85,35.35,87.99,36.27,6.4,108.17,20.88,74.25,9.4,519,Dangerous
Mexico City,Mexico,2023-02-04,89.58,149.87,64.78,21.45,3.09,19.51,-0.89,13.61,9.04,358,Dangerous
Los Angeles,USA,2023-01-28,56.45,197.14,47.67,25.59,6.95,128.42,4.09,79.08,4.55,394,Dangerous
Toronto,Canada,2023-11-27,47.28,169.96,30.38,13.3,7.54,175.51,16.17,17.63,14.47,340,Dangerous
Cairo,Egypt,2023-05-10,135.56,137.6,9.48,37.0,6.51,160.98,39.48,14.56,16.75,542,Dangerous
New York,USA,2023-12-02,81.98,81.85,41.23,3.91,6.45,156.63,-1.55,34.17,5.19,328,Dangerous
New York,USA,2023-01-16,144.57,125.26,44.74,10.87,4.6,177.57,10.68,52.31,5.75,578,Dangerous
Mumbai,India,2023-06-19,58.29,40.44,58.86,14.05,1.03,187.94,1.75,69.13,1.78,233,Dangerous
Istanbul,Turkey,2023-04-16,70.79,77.2,47.19,47.44,8.76,171.46,0.92,86.04,17.73,283,Dangerous
Moscow,Russia,2023-06-02,138.28,143.48,44.27,27.76,9.31,162.23,25.14,96.08,13.28,553,Dangerous
Cairo,Egypt,2023-06-11,50.26,103.82,10.62,37.65,6.39,19.3,28.81,48.08,8.28,208,Dangerous
Dubai,UAE,2023-01-08,5.03,114.87,39.0,3.23,8.55,70.61,-1.85,27.21,0.95,230,Dangerous
Johannesburg,South Africa,2023-08-08,50.21,89.44,24.79,37.45,9.94,44.83,-9.18,86.06,4.91,201,Dangerous
Bangkok,Thailand,2023-12-17,68.73,188.79,6.99,35.08,0.11,175.53,-7.87,41.74,8.04,378,Dangerous
Los Angeles,USA,2023-03-27,85.11,47.32,19.59,35.41,2.8,61.26,-4.95,89.87,3.07,340,Dangerous
Madrid,Spain,2023-11-18,38.03,164.14,61.5,17.63,4.87,56.28,35.24,59.71,1.64,328,Dangerous
Mexico City,Mexico,2023-04-17,106.7,142.63,73.85,32.65,0.25,122.55,33.31,65.28,18.36,427,Dangerous
London,UK,2023-01-05,83.76,75.73,35.51,43.43,0.83,162.59,28.71,51.31,4.23,335,Dangerous
Sydney,Australia,2023-08-11,84.47,131.61,58.28,43.88,9.2,182.66,-5.78,93.86,10.64,338,Dangerous
Mumbai,India,2023-02-06,107.11,110.8,88.25,10.09,9.89,155.32,27.62,48.63,8.01,428,Dangerous
Madrid,Spain,2023-06-07,23.96,41.89,95.1,25.33,6.4,86.07,32.8,12.78,5.65,96,Poor
Seoul,South Korea,2023-12-03,30.78,45.06,35.54,27.8,4.63,25.89,35.0,78.84,18.82,123,Unhealthy
Madrid,Spain,2023-07-26,21.08,180.59,69.27,29.11,8.98,81.75,2.32,31.1,15.75,361,Dangerous
Moscow,Russia,2023-04-13,17.62,175.92,27.64,36.31,2.6,60.26,8.61,85.35,18.18,352,Dangerous
New York,USA,2023-03-28,110.47,196.78,9.68,11.75,7.32,105.55,10.86,37.26,1.23,442,Dangerous
Mumbai,India,2023-07-03,92.76,13.85,53.36,27.31,2.64,74.83,1.72,69.7,5.76,371,Dangerous
Mumbai,India,2023-11-28,81.29,51.59,24.4,17.57,9.64,73.13,-9.8,43.72,13.37,325,Dangerous
Rio de Janeiro,Brazil,2023-07-26,56.02,128.19,96.17,2.48,2.3,139.6,28.78,61.46,6.92,256,Dangerous
Istanbul,Turkey,2023-03-08,149.37,177.34,35.67,13.9,1.0,64.13,1.74,47.12,3.3,597,Dangerous
Sydney,Australia,2023-01-24,95.39,11.35,95.05,10.9,9.44,159.42,32.93,90.52,3.52,382,Dangerous
Istanbul,Turkey,2023-04-12,62.31,138.5,66.01,47.3,8.69,65.15,36.03,78.69,3.41,277,Dangerous
Berlin,Germany,2023-02-02,106.4,35.63,37.66,22.48,2.67,104.33,16.34,94.75,5.3,426,Dangerous
Seoul,South Korea,2023-05-19,145.85,88.9,43.22,32.04,3.95,122.4,-3.72,76.89,14.97,583,Dangerous
Seoul,South Korea,2023-04-26,28.68,16.44,15.84,43.86,5.39,53.29,17.34,22.97,16.46,115,Unhealthy
Mumbai,India,2023-07-27,106.58,82.64,42.75,29.62,2.01,153.85,12.39,30.38,16.76,426,Dangerous
Dubai,UAE,2023-07-20,79.12,38.99,65.78,39.24,0.51,189.0,30.78,93.93,16.17,316,Dangerous
Beijing,China,2023-04-25,27.25,191.23,92.5,24.51,2.9,106.45,11.96,41.46,14.8,382,Dangerous
London,UK,2023-10-03,99.87,172.19,65.02,45.27,0.26,77.18,-7.19,22.73,7.9,399,Dangerous
New York,USA,2023-05-24,136.8,43.44,91.23,12.21,9.15,91.16,32.53,65.21,1.27,547,Dangerous
Paris,France,2023-06-07,94.25,174.26,17.53,22.51,3.69,176.36,-4.49,74.54,9.51,377,Dangerous
Mexico City,Mexico,2023-04-05,14.99,72.3,55.49,7.63,3.3,101.87,24.64,51.65,9.89,145,Unhealthy
Toronto,Canada,2023-05-01,73.73,166.59,73.61,38.2,4.66,143.24,39.04,66.23,2.31,333,Dangerous
Berlin,Germany,2023-11-27,64.37,197.05,37.28,27.58,4.48,37.65,-8.52,13.18,8.98,394,Dangerous
Mexico City,Mexico,2023-12-20,102.83,42.04,53.69,28.19,3.92,33.77,-0.31,54.99,3.96,411,Dangerous
Mumbai,India,2023-01-25,137.67,141.18,19.14,13.06,4.84,122.64,4.34,87.92,16.49,551,Dangerous
Toronto,Canada,2023-01-14,37.78,196.09,90.13,4.29,1.16,150.19,22.63,96.91,18.25,392,Dangerous
London,UK,2023-10-10,43.1,27.63,86.16,49.51,3.03,180.71,25.67,46.36,12.22,172,Dangerous
Seoul,South Korea,2023-12-03,80.53,133.43,91.67,1.88,0.29,92.28,-0.21,21.13,16.67,322,Dangerous
Beijing,China,2023-01-23,88.12,123.9,5.43,16.89,3.92,196.08,-0.87,16.6,12.65,352,Dangerous
Moscow,Russia,2023-04-15,35.52,21.64,16.62,17.15,9.27,185.98,21.03,89.52,8.0,142,Unhealthy
Toronto,Canada,2023-04-12,95.96,31.03,35.87,2.45,1.64,88.38,23.06,55.78,5.71,384,Dangerous
Tokyo,Japan,2023-06-02,104.22,144.48,70.84,31.7,9.47,88.39,3.2,98.9,10.33,417,Dangerous
Bangkok,Thailand,2023-09-28,30.92,183.46,9.34,39.45,8.33,154.91,35.5,64.19,6.02,367,Dangerous
London,UK,2023-01-19,149.74,51.62,92.86,25.83,6.43,98.63,39.94,54.94,8.94,599,Dangerous
Dubai,UAE,2023-05-07,26.0,196.76,41.49,6.86,8.88,101.04,37.23,65.45,12.89,394,Dangerous
Seoul,South Korea,2023-02-23,69.14,14.05,37.27,23.25,5.24,34.89,37.72,79.04,14.95,277,Dangerous
Mumbai,India,2023-01-15,111.84,89.8,73.5,47.17,9.02,107.65,23.48,65.25,3.91,447,Dangerous
Toronto,Canada,2023-08-10,22.87,167.39,78.9,15.02,0.95,111.42,0.75,66.1,1.32,335,Dangerous
Los Angeles,USA,2023-01-09,68.24,147.66,69.73,45.9,8.29,134.52,12.64,92.33,14.27,295,Dangerous
Cairo,Egypt,2023-12-11,102.31,23.62,6.66,29.24,8.28,179.25,28.57,84.56,4.03,409,Dangerous
Berlin,Germany,2023-11-17,50.75,25.26,91.89,32.97,3.44,155.0,-6.1,73.78,10.85,203,Dangerous
Cairo,Egypt,2023-01-08,106.73,79.33,90.61,30.86,5.9,193.72,34.95,94.11,9.71,427,Dangerous
Tokyo,Japan,2023-11-17,83.43,198.67,92.76,48.28,6.21,136.37,11.05,93.19,18.4,397,Dangerous
Paris,France,2023-01-14,8.68,130.88,51.62,4.63,4.53,149.97,33.51,43.97,3.58,262,Dangerous
Moscow,Russia,2023-12-22,148.74,37.09,63.7,26.42,2.02,41.66,18.95,36.51,15.89,595,Dangerous
Dubai,UAE,2023-03-19,13.38,172.68,28.61,8.71,1.12,110.32,-0.81,57.04,15.13,345,Dangerous
Berlin,Germany,2023-07-26,90.05,162.9,55.81,31.04,5.61,59.16,32.08,31.9,7.69,360,Dangerous
London,UK,2023-06-12,34.7,12.38,55.24,24.36,4.69,87.96,14.38,80.88,12.16,139,Unhealthy
Sydney,Australia,2023-03-04,136.83,175.24,90.57,24.94,0.32,85.54,18.07,73.69,11.9,547,Dangerous
Seoul,South Korea,2023-11-01,113.39,102.03,18.38,3.13,6.35,52.54,-0.31,37.39,18.36,454,Dangerous
Seoul,South Korea,2023-11-10,29.47,57.04,83.66,32.73,9.81,72.02,-3.75,39.25,4.31,118,Unhealthy
Istanbul,Turkey,2023-08-26,34.45,117.99,64.68,11.66,5.27,115.38,36.89,20.19,9.3,236,Dangerous
Madrid,Spain,2023-06-06,74.53,23.3,41.47,47.38,9.73,40.04,32.11,89.81,12.08,298,Dangerous
Rio de Janeiro,Brazil,2023-11-22,64.96,133.31,65.68,10.36,7.78,38.05,37.25,52.85,12.33,267,Dangerous
Johannesburg,South Africa,2023-01-28,101.61,185.14,59.14,47.69,3.47,120.28,9.07,57.06,8.77,406,Dangerous
Dubai,UAE,2023-09-01,146.86,37.43,29.9,22.5,9.76,121.08,39.66,67.63,15.58,587,Dangerous
Tokyo,Japan,2023-12-08,89.24,48.58,17.34,38.85,9.22,137.8,16.16,63.12,12.18,357,Dangerous
Johannesburg,South Africa,2023-10-10,96.85,105.52,80.82,22.9,7.06,98.87,16.83,16.52,7.35,387,Dangerous
Tokyo,Japan,2023-03-12,117.4,11.7,71.3,24.41,7.11,195.01,31.87,99.93,12.16,470,Dangerous
Berlin,Germany,2023-02-20,47.45,165.85,69.81,29.18,6.81,166.72,16.33,57.46,1.65,332,Dangerous
Sydney,Australia,2023-05-01,28.01,77.23,58.08,33.03,6.42,194.44,26.27,50.58,5.67,154,Dangerous
Beijing,China,2023-04-01,118.37,142.9,21.36,48.53,5.05,56.47,28.23,70.48,12.47,473,Dangerous
Sydney,Australia,2023-07-17,100.75,180.99,33.31,2.72,6.53,181.98,30.45,26.01,5.37,403,Dangerous
Rio de Janeiro,Brazil,2023-09-21,113.08,59.22,31.35,21.92,7.52,56.2,-9.32,87.39,4.35,452,Dangerous
Istanbul,Turkey,2023-03-11,73.72,39.38,36.52,47.57,1.76,178.94,29.84,27.95,12.61,295,Dangerous
Toronto,Canada,2023-10-01,65.61,81.89,66.1,7.99,5.63,164.02,26.06,74.96,2.81,262,Dangerous
Rio de Janeiro,Brazil,2023-10-20,119.06,18.01,38.14,21.48,1.42,49.02,27.57,21.92,11.69,476,Dangerous
Berlin,Germany,2023-04-07,128.21,67.57,93.63,3.35,8.01,151.18,0.44,94.1,18.16,513,Dangerous
Johannesburg,South Africa,2023-06-18,66.62,115.6,75.51,25.71,2.3,90.27,30.53,74.94,9.76,266,Dangerous
Sydney,Australia,2023-11-09,115.02,78.61,50.03,18.91,7.18,180.85,-1.8,54.83,7.04,460,Dangerous
Toronto,Canada,2023-02-03,132.05,37.39,35.11,24.0,1.91,55.01,14.5,59.35,15.12,528,Dangerous
Moscow,Russia,2023-01-21,26.13,73.29,93.66,31.91,8.85,141.1,-5.34,79.48,9.58,147,Unhealthy
Istanbul,Turkey,2023-10-24,121.38,166.75,14.16,5.34,7.08,51.15,-9.19,45.84,10.39,486,Dangerous
Toronto,Canada,2023-08-01,115.41,160.0,18.24,14.35,6.56,144.61,11.77,76.96,0.85,462,Dangerous
London,UK,2023-12-18,123.89,18.78,36.78,38.16,1.16,138.6,14.64,77.62,16.09,496,Dangerous
Berlin,Germany,2023-03-10,86.69,185.8,71.88,16.32,2.31,133.08,36.14,88.72,4.36,372,Dangerous
Mexico City,Mexico,2023-02-23,5.42,156.42,88.14,20.06,8.04,25.78,10.88,58.13,17.43,313,Dangerous
Johannesburg,South Africa,2023-04-06,32.96,135.18,27.43,44.41,6.23,87.77,-7.72,36.82,6.09,270,Dangerous
Beijing,China,2023-08-23,65.22,165.52,90.11,1.07,7.11,59.75,22.79,61.78,11.72,331,Dangerous
Beijing,China,2023-12-26,121.03,168.42,91.79,2.47,8.47,194.06,4.63,89.55,5.15,484,Dangerous
Sydney,Australia,2023-09-14,69.95,170.91,9.31,29.1,1.97,158.21,10.68,67.43,17.5,342,Dangerous
Berlin,Germany,2023-04-24,61.89,81.67,11.49,29.86,3.38,126.75,30.39,35.23,7.86,248,Dangerous
Seoul,South Korea,2023-06-22,109.28,92.84,40.61,10.55,9.36,182.81,19.0,27.65,18.06,437,Dangerous
Mumbai,India,2023-06-22,18.48,31.38,95.4,19.75,7.56,175.9,22.08,30.6,12.55,74,Poor
Seoul,South Korea,2023-01-09,30.93,30.71,61.75,27.9,0.24,185.59,-8.42,25.17,12.35,124,Unhealthy
Cairo,Egypt,2023-04-01,106.28,86.56,65.18,16.35,4.23,189.16,39.5,17.06,8.29,425,Dangerous
Bangkok,Thailand,2023-08-01,146.94,165.15,87.28,32.56,7.18,125.82,-9.48,68.9,18.07,588,Dangerous
Cairo,Egypt,2023-06-19,145.54,40.14,76.34,43.06,9.55,173.18,1.83,35.35,13.95,582,Dangerous
Moscow,Russia,2023-08-08,67.62,43.29,53.8,24.48,4.67,122.53,-4.65,43.43,1.92,270,Dangerous
Toronto,Canada,2023-09-23,92.23,75.0,63.22,33.15,8.64,81.44,8.4,62.94,19.24,369,Dangerous
Bangkok,Thailand,2023-06-05,101.43,17.43,7.67,2.0,8.27,182.8,27.21,41.93,3.14,406,Dangerous
Cairo,Egypt,2023-10-16,124.29,145.57,41.6,11.46,8.44,102.3,37.18,43.67,17.68,497,Dangerous
London,UK,2023-06-06,146.75,93.46,50.62,49.36,6.38,59.66,24.11,28.23,17.26,587,Dangerous
Beijing,China,2023-08-18,82.34,181.61,7.07,1.34,1.26,30.17,10.19,48.2,16.46,363,Dangerous
Sydney,Australia,2023-04-14,115.64,172.17,55.73,9.47,7.72,90.94,-0.96,58.15,11.86,463,Dangerous
Bangkok,Thailand,2023-09-01,119.55,141.8,62.27,1.31,1.28,193.71,19.3,73.96,18.25,478,Dangerous
Paris,France,2023-04-02,27.02,18.03,94.07,43.99,4.48,113.61,13.12,50.69,16.25,108,Unhealthy
Johannesburg,South Africa,2023-07-27,24.89,76.74,96.84,21.89,0.94,54.22,9.59,71.39,9.19,153,Dangerous
Bangkok,Thailand,2023-09-14,66.96,80.53,10.91,41.4,8.15,145.41,22.55,32.24,13.68,268,Dangerous
Madrid,Spain,2023-01-20,67.46,124.47,50.07,41.23,1.35,43.56,4.34,71.15,4.6,270,Dangerous
New York,USA,2023-11-26,109.5,173.17,74.99,28.85,5.8,124.83,-5.32,81.68,12.92,438,Dangerous
Toronto,Canada,2023-04-19,125.8,51.07,89.86,38.82,1.43,132.94,1.85,90.14,13.11,503,Dangerous
Paris,France,2023-03-24,7.86,52.76,57.77,5.87,1.95,37.81,11.25,19.73,4.95,106,Unhealthy
London,UK,2023-10-05,9.15,119.3,61.71,45.85,1.05,53.48,-0.49,34.43,17.28,239,Dangerous
Beijing,China,2023-03-11,130.07,62.73,82.35,28.29,0.54,145.24,7.16,70.34,18.38,520,Dangerous
Dubai,UAE,2023-10-09,110.5,77.34,61.27,22.88,2.59,166.02,32.24,23.91,2.41,442,Dangerous
Johannesburg,South Africa,2023-08-20,23.73,34.3,62.74,37.22,2.5,42.97,24.92,35.56,5.06,95,Poor
Cairo,Egypt,2023-08-17,29.71,12.81,80.72,5.61,3.05,161.83,17.63,77.47,4.45,119,Unhealthy
Toronto,Canada,2023-05-09,41.14,179.55,21.79,24.38,1.94,15.71,37.39,34.34,11.6,359,Dangerous
Cairo,Egypt,2023-02-11,43.82,159.55,60.44,8.94,8.29,104.07,29.55,13.54,12.77,319,Dangerous
Mexico City,Mexico,2023-01-18,148.43,165.07,70.24,36.82,8.18,107.16,-8.04,59.06,17.91,594,Dangerous
Mumbai,India,2023-12-28,138.64,182.39,68.52,13.86,6.27,158.7,13.8,63.01,7.89,555,Dangerous
Cairo,Egypt,2023-03-18,133.59,150.97,5.35,1.19,5.24,128.22,11.39,90.84,2.54,534,Dangerous
Bangkok,Thailand,2023-12-17,62.79,101.4,16.47,20.52,1.07,129.61,24.71,67.17,10.41,251,Dangerous
Mumbai,India,2023-04-26,148.98,26.99,93.74,37.94,4.68,19.2,14.54,88.95,5.99,596,Dangerous
Mexico City,Mexico,2023-08-19,121.09,183.31,29.08,48.23,0.7,32.81,2.66,55.57,5.84,484,Dangerous
London,UK,2023-05-06,64.53,69.98,79.47,10.55,9.87,66.64,-8.84,19.58,4.89,258,Dangerous
Moscow,Russia,2023-04-07,96.21,165.88,32.27,6.47,5.65,56.46,36.08,84.3,12.85,385,Dangerous
Moscow,Russia,2023-06-13,117.52,88.87,81.44,24.31,5.81,90.9,1.57,75.01,15.86,470,Dangerous
Bangkok,Thailand,2023-01-20,76.76,196.97,15.96,30.17,9.78,37.61,22.0,37.85,19.98,394,Dangerous
Dubai,UAE,2023-10-17,42.68,88.48,5.28,46.93,1.98,113.82,-6.94,99.02,12.17,177,Dangerous
Bangkok,Thailand,2023-06-06,134.61,175.26,21.36,27.28,5.28,43.31,31.54,30.97,3.81,538,Dangerous
Toronto,Canada,2023-09-25,120.9,165.34,60.36,36.57,9.82,36.9,12.32,12.03,17.99,484,Dangerous
Paris,France,2023-07-25,89.71,16.01,38.3,15.02,0.16,62.32,28.61,57.61,3.72,359,Dangerous
Cairo,Egypt,2023-09-09,36.78,66.1,18.51,10.84,2.62,80.82,15.93,63.93,17.5,147,Unhealthy
Dubai,UAE,2023-01-05,138.61,31.71,30.69,28.21,3.43,70.17,9.51,30.64,11.41,554,Dangerous
Seoul,South Korea,2023-05-15,55.77,186.43,66.52,31.78,9.61,69.45,16.44,68.1,11.11,373,Dangerous
Madrid,Spain,2023-07-21,133.55,128.38,94.12,17.12,8.49,32.16,38.05,10.59,0.79,534,Dangerous
Sydney,Australia,2023-04-06,63.22,74.45,30.85,48.44,9.83,159.93,27.15,92.96,16.0,253,Dangerous
Moscow,Russia,2023-04-12,104.95,55.36,54.62,18.64,0.73,21.68,25.77,57.4,12.1,420,Dangerous
New York,USA,2023-05-16,51.36,102.23,20.61,8.73,2.3,100.99,38.06,29.23,8.43,205,Dangerous
Bangkok,Thailand,2023-12-03,5.03,148.56,44.04,45.75,5.33,161.3,15.87,96.66,9.96,297,Dangerous
Tokyo,Japan,2023-01-25,26.53,185.16,14.64,48.23,1.4,110.66,14.88,26.6,6.8,370,Dangerous
Cairo,Egypt,2023-04-11,31.37,95.95,34.49,29.65,7.54,117.7,39.38,12.72,5.79,192,Dangerous
Tokyo,Japan,2023-01-09,34.22,123.75,63.96,21.4,4.95,14.63,11.29,89.66,11.57,248,Dangerous
Paris,France,2023-08-03,145.74,67.36,73.63,9.53,1.71,59.85,-1.85,65.53,10.71,583,Dangerous
Mumbai,India,2023-05-10,37.41,119.11,77.75,3.4,8.48,77.56,26.2,98.72,6.49,238,Dangerous
Bangkok,Thailand,2023-09-23,144.95,86.84,34.79,7.87,6.58,52.07,30.38,78.33,2.68,580,Dangerous
Moscow,Russia,2023-07-08,91.1,102.4,8.43,4.4,4.82,49.66,36.93,77.89,4.5,364,Dangerous
Tokyo,Japan,2023-10-21,27.27,174.69,95.9,28.65,9.9,36.8,0.3,39.19,2.22,349,Dangerous
Mumbai,India,2023-11-24,119.49,141.92,37.51,46.22,5.55,146.81,39.37,12.88,18.55,478,Dangerous
Rio de Janeiro,Brazil,2023-06-08,32.06,131.33,94.4,12.87,9.1,108.44,16.29,32.4,16.03,263,Dangerous
Dubai,UAE,2023-06-06,141.45,109.86,79.69,47.64,7.02,184.16,30.44,88.79,7.26,566,Dangerous
Toronto,Canada,2023-11-07,135.76,181.9,43.78,24.36,1.82,27.24,13.22,30.52,4.94,543,Dangerous
Los Angeles,USA,2023-06-19,77.28,48.69,53.41,46.98,3.92,172.15,30.82,90.43,19.22,309,Dangerous
